,users,tweets
18024,Mecdty,"@Amy_Siskind Take your Bra Off get some popcorn and kick back, The Truth is about to come out and you Liberals won’t be Happy! Oh and get me a Beer Bitch!"
18067,Mecdty,@thebradfordfile More like a Pig in a Pig Clothing
18131,Mecdty,@adriandt31 @quickslanding Damn the ugly stick beat the crap out of Chelsea.
18144,Mecdty,Lolol I called Omar a Racist Bitch and Tweeter put me in a time out lolol
18145,Mecdty,@IlhanMN Racist Bitch! You have No morals! Disgusting Racist!
18207,Mecdty,@BillKristol Your such an Asshole!
18217,Mecdty,@bud_cann @PhysEdDepot Fukking Idiots! They should be behind Bars!
18346,Mecdty,@chrissyteigen Fukking disgusting bitch!
18432,Mecdty,@AOC Ahhhh maybe because you are a Fukking idiot that thinks she speaks for all of us! Because you Don’t
18453,Mecdty,@jamesplake721 <U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B>
18492,Mecdty,@AOC @jacobsoboroff If you haven’t figured your job out yet it’s because it’s for adults! Not cry baby little Bitches ! But please keep tweeting it shows the world how Fukking stupid you and Democrats are!
18533,Mecdty,@THEKIDMERO @TuckerCarlson @chrislhayes Wow you sound like a real bad ass lolol sorry I mean you sound like a real ASS! Are your little boy feelings hurt lolololol
18581,Mecdty,@IlhanMN Idiot!
18587,Mecdty,@AOCpress Make me a Drink! Bitch!
18775,Mecdty,@ThatTrumpGuy I’d knock that Bitches Lights Out!
18897,Mecdty,@realDonaldTrump Shut down the Boarder
18907,Mecdty,"@thehill See ya! Who gives a Crap what these morons boycott! Their only purpose in life is to entertain us, like Sit, roll over, Hell I have a Dog for that !"
19123,Mecdty,@DuckTvvacy @JannaWilkinso69 I wouldn’t eat anything those pussy hat wearing idiots cooked
19135,Mecdty,Smollett is a Fukking Liar!
19163,Mecdty,@robreiner STFU you Liar!
19214,Mecdty,"Breaking ...

Hillary has just released a statement about the Mueller report. 

and I quote ..

“Cough cough gag fart cough cough, gag hack cough fart cough cough, burp fart gag cough gag hack, cough cough cough fart gag cough.”"
19247,Mecdty,"@ericswalwell Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar"
19258,Mecdty,"@ericswalwell Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar"
10540,AnnCoulter,"""fuck off I'm talking"" https://t.co/GDqCTOBpvQ"
12217,AnnCoulter,"""ignorant bastard, THROW THE FUCKING STICK"" https://t.co/aP2Mwuq5rV"
12746,MADENAMERUCA,"@mel_faith1 If that were my kid, my foot would go up her ass"
15854,LastStand2019,"@LastStand2019 Man, I hate that bitch."
16147,Mecdty,@MarkDice I’d rather get kicked in the Nuts than eat dinner with those assholes!
16408,Mecdty,@Jamierodr14 @realDonaldTrump @DevinNunes <U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB>
16657,Mecdty,@CarlosSimancas I’d have to kick my own Ass!
16705,Mecdty,@catturd2 Fuk Mitt! Never cared what that Ass had to say about anything!
16895,Mecdty,@brianstelter It most really SUCK being you! I’d have to kick my own ass if I woke up every day you!
17487,Mecdty,@The_Trump_Train <U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FD><U+0001F595><U+0001F3FD><U+0001F595><U+0001F3FF><U+0001F595><U+0001F3FF><U+0001F595><U+0001F3FF><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F595><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B>
17509,Mecdty,@SuperEliteTexan Fuk them! Assimilate or get the fuk out!
17777,Mecdty,@collin_tuso @GKeile A bunch of Dumb Ass Kids!
18131,Mecdty,@adriandt31 @quickslanding Damn the ugly stick beat the crap out of Chelsea.
18145,Mecdty,@IlhanMN Racist Bitch! You have No morals! Disgusting Racist!
18185,Mecdty,@catturd2 @HelenDe99941618 <U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B> for Cory Booker=<U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB>
18207,Mecdty,@BillKristol Your such an Asshole!
18346,Mecdty,@chrissyteigen Fukking disgusting bitch!
18453,Mecdty,@jamesplake721 <U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B>
18587,Mecdty,@AOCpress Make me a Drink! Bitch!
18897,Mecdty,@realDonaldTrump Shut down the Boarder
12217,AnnCoulter,"""ignorant bastard, THROW THE FUCKING STICK"" https://t.co/aP2Mwuq5rV"
15717,LastStand2019,@LastStand2019 A BIG FAT... https://t.co/X3664K1adP
15854,LastStand2019,"@LastStand2019 Man, I hate that bitch."
16408,Mecdty,@Jamierodr14 @realDonaldTrump @DevinNunes <U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB>
16657,Mecdty,@CarlosSimancas I’d have to kick my own Ass!
16658,Mecdty,@fedupcitizen16 She’s a Fukking Moron!
16895,Mecdty,@brianstelter It most really SUCK being you! I’d have to kick my own ass if I woke up every day you!
17487,Mecdty,@The_Trump_Train <U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FD><U+0001F595><U+0001F3FD><U+0001F595><U+0001F3FF><U+0001F595><U+0001F3FF><U+0001F595><U+0001F3FF><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F595><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B>
17509,Mecdty,@SuperEliteTexan Fuk them! Assimilate or get the fuk out!
17777,Mecdty,@collin_tuso @GKeile A bunch of Dumb Ass Kids!
18131,Mecdty,@adriandt31 @quickslanding Damn the ugly stick beat the crap out of Chelsea.
18145,Mecdty,@IlhanMN Racist Bitch! You have No morals! Disgusting Racist!
18185,Mecdty,@catturd2 @HelenDe99941618 <U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B> for Cory Booker=<U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB>
18207,Mecdty,@BillKristol Your such an Asshole!
18346,Mecdty,@chrissyteigen Fukking disgusting bitch!
18453,Mecdty,@jamesplake721 <U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B>
19247,Mecdty,"@ericswalwell Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar"
19258,Mecdty,"@ericswalwell Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar"
